offer4,after,applied,branch,normrate_less,waved1,waved2,waved3,low,med,high,outside,normrate_more
6.75,0,0,CAB,1,1,0,0,0.0,1.0,0.0,0.0,0.0
13.25,0,0,CPL,0,1,0,0,0.0,0.0,1.0,0.0,1.0
12.5,0,0,CPL,0,1,0,0,0.0,0.0,1.0,1.0,1.0
4.25,0,0,CPL,1,1,0,0,0.0,0.0,1.0,0.0,0.0
6.5,1,0,CAB,1,1,0,0,0.0,1.0,0.0,0.0,0.0
5.5,0,0,CPL,1,1,0,0,1.0,0.0,0.0,0.0,0.0
8.25,0,0,CPC,1,1,0,0,0.0,0.0,1.0,0.0,0.0
3.25,0,0,CPL,1,1,0,0,0.0,1.0,0.0,0.0,0.0
6.0,0,0,CPC,1,1,0,0,1.0,0.0,0.0,1.0,0.0
8.75,0,0,CPC,1,1,0,0,0.0,0.0,1.0,0.0,0.0
11.75,0,0,CPL,1,1,0,0,0.0,0.0,1.0,0.0,0.0
8.0,1,1,CAB,1,1,0,0,0.0,1.0,0.0,1.0,0.0
10.5,0,0,CPL,1,1,0,0,0.0,0.0,1.0,0.0,0.0
6.75,1,0,CUL,1,1,0,0,0.0,0.0,1.0,1.0,0.0
11.5,0,0,CPL,1,1,0,0,0.0,0.0,1.0,0.0,0.0
12.0,0,0,CPC,0,1,0,0,0.0,0.0,1.0,0.0,1.0
5.25,0,0,CPC,1,1,0,0,0.0,1.0,0.0,0.0,0.0
3.75,0,0,CPL,1,1,0,0,0.0,0.0,1.0,1.0,0.0
12.75,1,0,CPL,0,1,0,0,0.0,0.0,1.0,1.0,1.0
13.25,0,0,CPC,0,1,0,0,0.0,0.0,1.0,0.0,1.0
13.25,0,0,CPL,0,1,0,0,0.0,0.0,1.0,0.0,1.0
11.5,0,0,CPL,1,1,0,0,0.0,0.0,1.0,0.0,0.0
8.75,1,0,CPL,1,1,0,0,0.0,0.0,1.0,1.0,0.0
4.25,1,0,CAB,1,1,0,0,1.0,0.0,0.0,0.0,0.0
10.5,0,1,CPL,0,1,0,0,0.0,1.0,0.0,0.0,1.0
4.75,0,1,CGM,1,1,0,0,0.0,0.0,1.0,0.0,0.0
5.25,0,0,CPL,1,1,0,0,1.0,0.0,0.0,0.0,0.0
6.75,0,0,CPL,1,1,0,0,0.0,0.0,1.0,0.0,0.0
7.25,0,0,CPC,1,1,0,0,0.0,1.0,0.0,1.0,0.0
6.25,0,0,CPC,1,1,0,0,1.0,0.0,0.0,0.0,0.0
10.5,0,0,CPL,1,1,0,0,0.0,0.0,1.0,0.0,0.0
7.75,1,0,CPL,1,1,0,0,1.0,0.0,0.0,0.0,0.0
3.5,0,0,CPC,1,1,0,0,0.0,0.0,1.0,1.0,0.0
4.5,1,1,CPL,1,1,0,0,0.0,0.0,1.0,1.0,0.0
5.75,0,0,CAB,1,1,0,0,0.0,0.0,1.0,0.0,0.0
10.0,0,0,CPL,1,1,0,0,0.0,0.0,1.0,0.0,0.0
6.25,1,0,CPL,1,1,0,0,1.0,0.0,0.0,0.0,0.0
7.0,0,0,CPL,1,1,0,0,1.0,0.0,0.0,1.0,0.0
11.75,0,0,CPC,1,1,0,0,0.0,0.0,1.0,0.0,0.0
10.75,0,0,CAB,1,1,0,0,0.0,0.0,1.0,1.0,0.0
11.5,0,0,CPL,1,1,0,0,0.0,0.0,1.0,0.0,0.0
11.75,0,1,CPL,0,1,0,0,1.0,0.0,0.0,0.0,1.0
13.0,1,1,CPL,0,1,0,0,0.0,0.0,1.0,1.0,1.0
9.75,0,0,CPC,1,1,0,0,0.0,0.0,1.0,0.0,0.0
9.25,0,0,CPL,1,1,0,0,0.0,0.0,1.0,0.0,0.0
9.5,0,0,CPL,1,1,0,0,0.0,0.0,1.0,0.0,0.0
5.0,1,0,CPL,1,1,0,0,0.0,0.0,1.0,0.0,0.0
13.75,1,0,CPL,0,1,0,0,0.0,1.0,0.0,1.0,1.0
8.5,0,0,CPC,1,1,0,0,0.0,0.0,1.0,0.0,0.0
4.25,0,1,CPL,1,1,0,0,0.0,1.0,0.0,0.0,0.0
5.0,1,0,CPL,1,1,0,0,0.0,1.0,0.0,1.0,0.0
9.75,0,0,CAB,1,1,0,0,0.0,0.0,1.0,0.0,0.0
7.0,0,0,CPL,1,1,0,0,0.0,0.0,1.0,0.0,0.0
11.25,0,0,CPL,1,1,0,0,0.0,0.0,1.0,0.0,0.0
5.0,0,0,CAB,1,1,0,0,1.0,0.0,0.0,0.0,0.0
10.25,0,0,CPL,1,1,0,0,0.0,0.0,1.0,0.0,0.0
5.0,0,0,CPC,1,1,0,0,1.0,0.0,0.0,0.0,0.0
8.5,0,1,CPL,1,1,0,0,0.0,1.0,0.0,0.0,0.0
9.5,0,1,CAB,1,1,0,0,0.0,1.0,0.0,0.0,0.0
10.25,0,0,CPC,1,1,0,0,0.0,0.0,1.0,1.0,0.0
5.75,0,0,CPC,1,1,0,0,0.0,0.0,1.0,0.0,0.0
